"","Row.names","PC1","PC2","PC3","X","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"1","10",0.16748507705327,0.11640018482076,0.0562237422692006,10,101027,"QULA",61,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,3.7896626663101,0.0105683176866761,38.8297626707057,546.467528352436
"2","1003",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1003,519014,"QULA",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,22.3646073751862,0.069746498502347,191.758748978587,206.190739430545
"3","1006",0.134674103306244,-0.0514449482843793,-0.115268846022112,1006,519018,"QULA",87,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,13.2977578538064,0.0543252055640381,277.022476376593,144.017165927421
"4","1009",0.122977567042494,0.0929548812436519,0.0317781657645708,1009,519022,"QULA",59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,0,0.00107521008569111,193.035375983201,340.144106748576
"5","1010",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1010,519023,"QULA",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,3.99753851633764,0.00567450173054657,119.675854535301,384.297706807249
"6","1011",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1011,519024,"QULA",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,5.14998205257913,0.0193592793295837,54.4606623259386,329.613667602839
"7","1019",0.157238018337185,-0.0742173822794288,0.056128961223424,1019,521003,"QULA",90,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,3.55275194853076,0.0467594650560305,59.7862520908722,412.474839352457
"8","1030",0.0990984917217518,-0.0454054163627332,0.0200881248662297,1030,521016,"QULA",94,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,14.7010425456446,0.137885286964219,31.8911975885489,259.048103413821
"9","1033",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1033,521020,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,1.57387631959253,0.000804247719318987,280.408302448054,112.880409483314
"10","1034",0.0990984917217518,-0.0454054163627332,0.0200881248662297,1034,521022,"QULA",93,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,4.75621964712029,0.0201061929829747,321.191918333098,113.818390478946
"11","1035",0.134674103306244,-0.0514449482843793,-0.115268846022112,1035,521023,"QULA",92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8872,0.185924949841975,0.000314159265358979,268.724256700976,82.585673491572
"12","1036",-0.0649638257885071,-0.0248298234548409,0.0062704462350709,1036,521024,"QULA",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.615425996763747,0.00057255526111674,248.565474551334,80.9591409236544
"13","1037",0.0990984917217518,-0.0454054163627332,0.0200881248662297,1037,521025,"QULA",92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,4.5097609926786,0.00321699087727595,390.471087524617,105.522843826305
"14","1038",0.0990984917217518,-0.0454054163627331,0.0200881248662297,1038,521026,"QULA",97,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,1.29138569812721,0.000314159265358979,324.695421304187,96.0780443005541
"15","1039",-0.0649638257885071,-0.0248298234548409,0.00627044623507089,1039,521027,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,1.46289786115973,0.00769768739945839,384.142868206437,130.062999395821
"16","1041",-0.0649638257885071,-0.0248298234548409,0.00627044623507089,1041,521029,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,2.95029745989553,0.000855298599939821,203.640189471147,89.8021339873919
"17","1042",-0.0649638257885071,-0.0248298234548409,0.00627044623507089,1042,521030,"QULA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.518860325140395,0.00057255526111674,164.34213826944,76.8906868171512
"18","1043",-0.0649638257885071,-0.0248298234548409,0.00627044623507089,1043,521031,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.69181376685386,0.000530929158456675,141.069596726334,80.7801077815433
